"year","noxi","nred","datetime","ndep"
"1985",26.8765468597412,5.17658042907715,1985-07-01,32.0531272888184
"1986",21.7510986328125,4.519362449646,1986-07-01,26.2704610824585
"1987",29.7736434936523,6.38332462310791,1987-07-01,36.1569681167603
"1988",19.8606967926025,3.02578783035278,1988-07-01,22.8864846229553
"1989",18.1445770263672,5.67413711547852,1989-07-01,23.8187141418457
"1990",14.2460641860962,4.62700462341309,1990-07-01,18.8730688095093
"1991",12.6251306533813,3.83108758926392,1991-07-01,16.4562182426453
"1992",12.3713455200195,3.66871309280396,1992-07-01,16.0400586128235
"1993",13.5655269622803,4.3456974029541,1993-07-01,17.9112243652344
"1994",14.3654441833496,4.69042301177979,1994-07-01,19.0558671951294
"1995",24.6417121887207,6.59036731719971,1995-07-01,31.2320795059204
"1996",21.7444038391113,6.11663198471069,1996-07-01,27.861035823822
"1997",13.6157426834106,4.00196886062622,1997-07-01,17.6177115440369
"1998",17.929594039917,3.59092044830322,1998-07-01,21.5205144882202
"1999",13.7709903717041,4.24037075042725,1999-07-01,18.0113611221313
"2000",12.9092903137207,4.0167760848999,2000-07-01,16.9260663986206
"2001",12.210747718811,4.3737006187439,2001-07-01,16.5844483375549
"2002",12.3125419616699,4.43925857543945,2002-07-01,16.7518005371094
"2003",10.7921409606934,5.03489589691162,2003-07-01,15.827036857605
"2004",9.40545463562012,4.76051235198975,2004-07-01,14.1659669876099
"2005",10.0686149597168,4.65296173095703,2005-07-01,14.7215766906738
"2006",8.30511856079102,4.70586109161377,2006-07-01,13.0109796524048
"2007",8.87225437164307,4.91948318481445,2007-07-01,13.7917375564575
"2008",7.19098663330078,4.97521018981934,2008-07-01,12.1661968231201
"2009",5.15754127502441,4.64495658874512,2009-07-01,9.80249786376953
"2010",5.82306289672852,5.13907480239868,2010-07-01,10.9621376991272
"2011",6.37238121032715,6.28452110290527,2011-07-01,12.6569023132324
"2012",5.69573926925659,6.21399879455566,2012-07-01,11.9097380638123
"2013",4.71918106079102,5.93899250030518,2013-07-01,10.6581735610962
"2014",5.48240232467651,5.47135353088379,2014-07-01,10.9537558555603
"2015",5.19013071060181,5.82574224472046,2015-07-01,11.0158729553223
"2016",4.49660873413086,6.53190326690674,2016-07-01,11.0285120010376
"2017",4.16056060791016,6.25465106964111,2017-07-01,10.4152116775513
"2018",4.15239572525024,6.9056224822998,2018-07-01,11.05801820755
"2019",3.98479986190796,7.07567930221558,2019-07-01,11.0604791641235
"2020",3.59606075286865,7.22529792785645,2020-07-01,10.8213586807251
"2021",3.95486736297607,7.06441736221313,2021-07-01,11.0192847251892
