"species","ecoregion_ortho","n_trees_ecoregion"
"Acer saccharum","EASTERN TEMPERATE FORESTS",23511
"Acer saccharum","GREAT PLAINS",123
"Acer saccharum","NORTHERN FORESTS",45173
"Betula papyrifera","EASTERN TEMPERATE FORESTS",4120
"Betula papyrifera","GREAT PLAINS",13
"Betula papyrifera","NORTH AMERICAN DESERTS",3
"Betula papyrifera","NORTHERN FORESTS",19549
"Betula papyrifera","NORTHWESTERN FORESTED MOUNTAINS & MARINE WEST COAST FOREST",527
"Liriodendron tulipifera","EASTERN TEMPERATE FORESTS",24646
"Liriodendron tulipifera","NORTHERN FORESTS",130
"Picea rubens","EASTERN TEMPERATE FORESTS",5053
"Picea rubens","NORTHERN FORESTS",11451
"Pinus ponderosa","GREAT PLAINS",2719
"Pinus ponderosa","MEDITERRANEAN CALIFORNIA",163
"Pinus ponderosa","NORTH AMERICAN DESERTS",999
"Pinus ponderosa","NORTHWESTERN FORESTED MOUNTAINS & MARINE WEST COAST FOREST",32013
"Pinus ponderosa","TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",8064
"Populus deltoides","EASTERN TEMPERATE FORESTS",833
"Populus deltoides","GREAT PLAINS",500
"Populus deltoides","NORTHERN FORESTS",21
"Populus tremuloides","EASTERN TEMPERATE FORESTS",5681
"Populus tremuloides","GREAT PLAINS",1459
"Populus tremuloides","NORTH AMERICAN DESERTS",698
"Populus tremuloides","NORTHERN FORESTS",30750
"Populus tremuloides","NORTHWESTERN FORESTED MOUNTAINS & MARINE WEST COAST FOREST",14332
"Populus tremuloides","TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",528
"Prunus serotina","EASTERN TEMPERATE FORESTS",13649
"Prunus serotina","GREAT PLAINS",233
"Prunus serotina","NORTHERN FORESTS",4724
